iter	RMSE
167	0.8529060083
168	0.8528140314
169	0.8527203974
170	0.8526261081
171	0.8525239568
172	0.8524273953
173	0.8523290076
174	0.8522354889
175	0.8521390559
176	0.8520468481
177	0.8519498537
178	0.8518590189
179	0.8517670808
180	0.8516775947
181	0.8515893078
182	0.8514954595
183	0.8514072112
184	0.8513203009
185	0.8512253737
186	0.8511421524
187	0.8510521099
188	0.8509649454
189	0.8508742224
190	0.8507894105
191	0.8506990832
192	0.8506146272
193	0.8505321686
194	0.8504531397
195	0.8503747887
196	0.8502886512
197	0.8502054403
198	0.8501201271
199	0.8500352498
200	0.8499491883
201	0.84986714
202	0.8497828738
203	0.8497062274
204	0.8496285064
205	0.8495408931
206	0.8494617147
207	0.8493788276
208	0.8493007563
209	0.8492196108
210	0.849144826
211	0.8490663148
212	0.8489861871
213	0.8489127278
214	0.8488359562
215	0.8487561189
216	0.8486802684
217	0.848603147
218	0.8485316773
219	0.8484505659
220	0.8483787509
221	0.8482965425
222	0.8482229144
223	0.8481505576
224	0.8480764415
225	0.8479993792
226	0.8479264116
227	0.8478490898
228	0.8477781876
229	0.8476984888
230	0.8476229786
231	0.8475533635
232	0.8474799188
233	0.8474097715
234	0.8473372636
235	0.8472617991
236	0.8471900971
237	0.8471143228
238	0.8470472004
239	0.846977092
240	0.8469085996
241	0.846838535
242	0.8467693603
243	0.8466953314
244	0.8466240218
245	0.8465504127
246	0.846480646
247	0.8464072328
248	0.8463400704
249	0.8462673573
250	0.8461994914
251	0.846130141
252	0.8460593201
253	0.8459936036
254	0.8459235764
255	0.8458548853
256	0.8457860485
257	0.8457208699
258	0.8456519834
259	0.845583571
260	0.8455153647
261	0.8454490268
262	0.8453858366
263	0.8453125075
264	0.8452464693
265	0.8451796379
266	0.8451141942
267	0.8450480187
268	0.8449809686
269	0.8449147393
270	0.8448480489
271	0.8447817847
272	0.8447130217
273	0.8446478925
274	0.8445831424
275	0.8445161621
276	0.8444525356
277	0.8443839345
278	0.8443199878
279	0.8442534385
280	0.8441921448
281	0.8441272856
282	0.8440623404
283	0.8439978068
284	0.8439362274
285	0.8438680614
286	0.8438071594
287	0.843741236
288	0.8436794172
289	0.8436130387
290	0.8435530862
291	0.843488433
292	0.8434261637
293	0.8433631563
294	0.843304667
295	0.8432428625
296	0.8431795897
297	0.8431183522
298	0.8430564097
299	0.8429992358
300	0.8429401511
301	0.8428770213
302	0.8428189046
303	0.8427534561
304	0.84269583
305	0.8426383437
306	0.8425743719
307	0.8425177521
308	0.8424541267
309	0.8423988555
310	0.8423412014
311	0.8422811252
312	0.8422186285
313	0.8421606416
314	0.8421008542
315	0.8420457069
316	0.8419866002
317	0.8419263911
318	0.841865375
319	0.8418154045
320	0.8417573782
321	0.8416997252
322	0.8416413997
323	0.8415838665
324	0.8415311208
325	0.8414661274
326	0.8414105032
327	0.841350036
328	0.841291482
329	0.8412325807
330	0.8411757228
331	0.8411167974
332	0.8410594482
333	0.8410010413
334	0.8409434872
335	0.8408859457
336	0.8408280752
337	0.8407742646
338	0.8407169989
339	0.8406614543
340	0.8406051852
341	0.8405525452
342	0.8405024011
343	0.8404403992
344	0.840388276
345	0.8403340037
346	0.8402787112
347	0.8402224689
348	0.8401722749
349	0.840116555
350	0.8400643212
351	0.840002299
352	0.8399486313
353	0.8398934349
354	0.8398390914
355	0.839782277
356	0.8397324178
357	0.8396800281
358	0.8396236241
359	0.8395728404
360	0.8395202296
361	0.83947173
362	0.8394138203
363	0.8393607095
364	0.8393058597
365	0.8392539958
366	0.8392043661
367	0.8391524993
368	0.8391033415
369	0.8390531803
370	0.838996174
371	0.838944649
372	0.8388956839
373	0.838839557
374	0.8387886159
375	0.8387337359
376	0.8386832466
377	0.8386307357
378	0.8385800129
379	0.8385261655
380	0.8384743464
381	0.8384207143
382	0.8383696164
383	0.8383181469
384	0.8382725599
385	0.8382212015
386	0.8381722364
387	0.8381198868
388	0.8380684244
389	0.8380168367
390	0.8379689745
391	0.8379208868
392	0.8378677815
393	0.8378204037
394	0.8377692123
395	0.8377230875
396	0.8376672708
397	0.8376195963
398	0.8375702879
399	0.8375229959
400	0.8374711445
401	0.8374250448
402	0.8373752408
403	0.8373257597
404	0.8372750713
405	0.8372284023
406	0.8371803995
407	0.8371319007
408	0.83708776
409	0.8370413815
410	0.8369887829
411	0.8369427149
412	0.8368900177
413	0.8368449627
414	0.8367941867
415	0.8367480238
416	0.8367027401
417	0.8366527069
418	0.8366071819
419	0.8365638034
420	0.8365141264
421	0.8364686266
422	0.8364217496
423	0.8363762134
424	0.8363261197
425	0.8362817043
426	0.836232754
427	0.8361899327
428	0.8361486643
429	0.8361075835
430	0.8360608869
431	0.8360128497
432	0.8359659303
433	0.8359191155
434	0.8358730634
435	0.8358294122
436	0.8357819989
437	0.8357379656
438	0.8356900595
439	0.8356494229
440	0.835602169
441	0.8355581588
442	0.8355100227
443	0.8354682006
444	0.8354197739
445	0.8353770412
446	0.8353308061
447	0.8352858854
448	0.83523862
449	0.8351966576
450	0.8351487884
451	0.8351065669
452	0.8350591494
453	0.8350163612
454	0.8349749186
455	0.8349294224
456	0.8348878386
457	0.8348449244
458	0.8348010138
459	0.8347593602
460	0.8347123782
461	0.834676367
462	0.8346365196
463	0.8345891307
464	0.8345499233
465	0.8345034684
466	0.8344627052
467	0.8344187864
468	0.8343767248
469	0.8343350835
470	0.8342911449
471	0.8342473058
472	0.8342063379
473	0.834163927
474	0.8341249668
475	0.8340832028
476	0.8340429518
477	0.8340014089
478	0.8339607327
479	0.8339236891
480	0.8338839317
481	0.8338396143
482	0.8337987947
483	0.8337584122
484	0.8337158176
485	0.8336726142
486	0.8336341584
487	0.8335891822
488	0.8335479489
489	0.8335051224
490	0.8334685997
491	0.8334225391
492	0.8333825719
493	0.8333414487
494	0.8333024986
495	0.8332606534
496	0.8332217674
497	0.8331839098
498	0.8331440852
499	0.8331044197
500	0.8330652763
501	0.8330242285
502	0.8329847465
503	0.8329434743
504	0.8329042864
505	0.8328619362
506	0.8328235175
507	0.8327839314
508	0.8327424409
509	0.8327032199
510	0.8326667254
511	0.8326247024
512	0.8325862192
513	0.8325464903
514	0.8325086248
515	0.8324687699
516	0.832430318
517	0.8323922382
518	0.8323554243
519	0.8323142918
520	0.8322754054
521	0.8322351031
522	0.832197235
523	0.8321557916
524	0.8321173436
525	0.8320776952
526	0.8320403846
527	0.8320016504
528	0.8319656302
529	0.8319277246
530	0.8318895457
531	0.8318538382
532	0.8318146102
533	0.8317773424
534	0.8317400003
535	0.8317048485
536	0.831674354
537	0.8316374453
538	0.8316001978
539	0.8315620379
540	0.8315260448
541	0.8314918308
542	0.831454707
543	0.831417291
544	0.8313800963
545	0.8313421792
546	0.8313061822
547	0.8312681136
548	0.8312358526
549	0.8312002143
550	0.8311629307
551	0.8311260004
552	0.831092107
553	0.8310525627
554	0.831017064
555	0.8309836318
556	0.8309490889
557	0.8309130844
558	0.8308786063
559	0.8308396498
560	0.8308040289
561	0.8307680593
562	0.8307330013
563	0.8306973434
564	0.8306607095
565	0.8306241924
566	0.8305929929
567	0.8305555407
568	0.8305210227
569	0.8304847539
570	0.8304517189
571	0.8304132242
572	0.8303806582
573	0.8303428789
574	0.830310186
575	0.8302775219
576	0.8302410445
577	0.8302073963
578	0.8301718731
579	0.8301383487
580	0.8301074499
581	0.830072585
582	0.8300385717
583	0.8300026264
584	0.829970443
585	0.8299346457
586	0.8299010352
587	0.8298654201
588	0.8298324574
589	0.8297972226
590	0.8297631118
591	0.8297294519
592	0.8296956866
593	0.8296615972
594	0.8296282815
595	0.8295942114
596	0.8295659436
597	0.8295323303
598	0.8294991618
599	0.8294656123
600	0.8294330407
601	0.8293999962
602	0.8293670318
603	0.8293360485
604	0.8293015664
605	0.8292681082
606	0.8292354266
607	0.8292036412
608	0.8291703525
609	0.8291368906
610	0.8291061439
611	0.8290758319
612	0.8290444861
613	0.8290120492
614	0.8289790366
615	0.8289490208
616	0.8289166864
617	0.8288858355
618	0.828851172
619	0.8288222084
620	0.8287907302
621	0.8287568178
622	0.8287273778
623	0.8286923351
624	0.8286625445
625	0.8286290867
626	0.8285985222
627	0.8285666155
628	0.8285362189
629	0.8285033873
630	0.8284733728
631	0.8284403036
632	0.8284087823
633	0.8283763968
634	0.8283451375
635	0.8283138183
636	0.828282269
637	0.828250756
638	0.8282208762
639	0.8281906008
640	0.8281609525
641	0.8281278825
642	0.8280975477
643	0.8280666475
644	0.8280360211
645	0.8280039776
646	0.8279758067
647	0.8279462518
648	0.827918463
649	0.8278887302
650	0.8278568176
651	0.8278287012
652	0.8277963823
653	0.8277690999
654	0.8277379122
655	0.8277074525
656	0.8276760206
657	0.8276466877
658	0.8276164787
659	0.8275860298
660	0.8275554847
661	0.8275270825
662	0.8275001229
663	0.8274688126
664	0.8274401071
665	0.8274091321
666	0.8273815639
667	0.8273522935
668	0.8273224488
669	0.8272927487
670	0.8272629663
671	0.8272334391
672	0.8272048231
673	0.8271752527
674	0.8271470253
675	0.8271177206
676	0.8270911019
677	0.8270604671
678	0.8270330646
679	0.8270051318
680	0.8269745889
681	0.8269481584
682	0.8269158849
683	0.8268873267
684	0.8268570974
685	0.8268316221
686	0.8268040123
687	0.826776645
688	0.8267474968
689	0.8267207728
690	0.8266928347
691	0.8266641553
692	0.8266353408
693	0.8266070366
694	0.8265800082
695	0.8265506457
696	0.8265234574
697	0.8264955951
698	0.826466963
699	0.8264418166
700	0.8264107835
701	0.8263849931
702	0.8263588115
703	0.826332989
704	0.826306538
705	0.826277409
706	0.8262495464
707	0.8262220477
708	0.8261954311
709	0.8261668301
710	0.8261414329
711	0.8261113758
712	0.8260854274
713	0.8260587983
714	0.8260317315
715	0.8260075762
716	0.8259811268
717	0.8259533185
718	0.8259300059
719	0.8259023437
720	0.825875764
721	0.8258487785
722	0.8258226813
723	0.8257948003
724	0.8257685889
725	0.8257442043
726	0.8257176312
727	0.8256923325
728	0.825663921
729	0.8256384537
730	0.8256100121
731	0.8255849732
732	0.8255571272
733	0.8255308853
734	0.8255057568
735	0.8254799098
736	0.8254537239
737	0.8254278692
738	0.8254038626
739	0.8253771327
740	0.8253509622
741	0.8253291815
742	0.8253029205
743	0.8252757175
744	0.8252511546
745	0.825224525
746	0.825198531
747	0.8251724281
748	0.8251466119
749	0.8251205168
750	0.8250964011
751	0.8250719912
752	0.8250469167
753	0.8250218597
754	0.8249980773
755	0.8249713316
756	0.8249470163
757	0.8249228374
758	0.8248973999
759	0.8248717043
760	0.8248460946
761	0.8248232462
762	0.8247981795
763	0.8247728403
764	0.8247472446
765	0.8247219531
766	0.8246965245
767	0.8246757763
768	0.824651593
769	0.8246268666
770	0.8246021842
771	0.8245785015
772	0.8245521203
773	0.8245301922
774	0.8245045123
775	0.8244799657
776	0.8244572096
777	0.8244333777
778	0.824408513
779	0.8243860948
780	0.8243632655
781	0.8243363305
782	0.8243143378
783	0.8242892525
784	0.8242656285
785	0.8242418318
786	0.8242183985
787	0.824193501
788	0.8241703262
789	0.8241446435
790	0.8241212661
791	0.8240967935
792	0.8240754269
793	0.8240481203
794	0.8240248778
795	0.8240052388
796	0.8239818988
797	0.8239597908
798	0.8239332408
799	0.8239104674
800	0.8238857891
801	0.8238626675
802	0.8238392425
803	0.8238167363
804	0.8237936934
805	0.8237709047
806	0.8237477646
807	0.8237247659
808	0.8237009323
809	0.8236800154
810	0.8236572713
811	0.8236343029
812	0.8236107571
813	0.8235877119
814	0.823566264
815	0.8235416816
816	0.8235207
817	0.8234957931
818	0.8234738266
819	0.8234505692
820	0.8234290118
821	0.8234058553
822	0.8233877915
823	0.8233657049
824	0.8233424573
825	0.8233200771
826	0.8232967528
827	0.8232746825
828	0.8232520065
829	0.8232297843
830	0.8232077258
831	0.8231862522
832	0.8231639846
833	0.823142189
834	0.8231215535
835	0.8230973736
836	0.8230765147
837	0.8230540577
838	0.8230339045
839	0.8230123664
840	0.8229892625
841	0.8229682005
842	0.8229453286
843	0.8229251693
844	0.8229061408
845	0.8228871521
846	0.8228637617
847	0.8228433259
848	0.8228194877
849	0.8227978407
850	0.8227760454
851	0.8227540745
852	0.8227317763
853	0.8227104636
854	0.8226884176
855	0.822667368
856	0.822645924
857	0.8226247136
858	0.8226028567
859	0.8225824853
860	0.8225630103
861	0.8225454519
862	0.8225255005
863	0.8225033785
864	0.8224834263
865	0.8224628496
866	0.822441044
867	0.8224191233
868	0.8223988005
869	0.8223770983
870	0.8223576749
871	0.8223375842
872	0.8223154189
873	0.8222954886
874	0.822273441
875	0.8222535618
876	0.8222324111
877	0.8222119792
878	0.8221898401
879	0.8221701134
880	0.8221484539
881	0.8221288382
882	0.822109743
883	0.8220893273
884	0.8220683989
885	0.822048417
886	0.8220268693
887	0.822007074
888	0.8219862641
889	0.8219657609
890	0.8219460061
891	0.8219256704
892	0.8219054825
893	0.8218863676
894	0.8218666031
895	0.821847181
896	0.8218266986
897	0.8218074818
898	0.8217869139
899	0.8217670263
900	0.8217470812
901	0.8217266678
902	0.8217086537
903	0.8216879437
904	0.8216687406
905	0.8216482429
906	0.8216277864
907	0.8216086716
908	0.8215907648
909	0.8215720199
910	0.8215539559
911	0.8215334819
912	0.8215138835
913	0.8214958721
914	0.8214762643
915	0.8214578012
916	0.8214391704
917	0.8214206926
918	0.8214020816
919	0.8213814945
920	0.8213626107
921	0.8213428481
922	0.8213259173
923	0.8213070334
924	0.821286937
925	0.821266523
926	0.8212483936
927	0.8212280017
928	0.8212090234
929	0.8211894478
930	0.8211700592
931	0.8211522269
932	0.8211332744
933	0.8211142462
934	0.8210955943
935	0.8210759632
936	0.8210573115
937	0.8210382685
938	0.8210196282
939	0.82100066
940	0.8209828629
941	0.8209623642
942	0.8209447251
943	0.8209280121
944	0.8209086362
945	0.8208920101
946	0.8208713122
947	0.8208539095
948	0.8208364488
949	0.8208170749
950	0.8207982705
951	0.8207795217
952	0.8207631732
953	0.8207448846
954	0.820726916
955	0.8207086135
956	0.8206905317
957	0.8206732873
958	0.8206537456
959	0.8206371326
960	0.8206198721
961	0.8206009776
962	0.8205832119
963	0.8205644675
964	0.8205476041
965	0.8205282286
966	0.8205114413
967	0.820493099
968	0.8204755921
969	0.8204595378
970	0.820441898
971	0.8204239374
972	0.8204068955
973	0.8203901056
974	0.8203707738
975	0.820352938
976	0.8203353387
977	0.8203177362
978	0.8203012857
979	0.8202829794
980	0.8202658071
981	0.8202477341
982	0.8202332208
983	0.8202172832
984	0.8201982689
985	0.8201810496
986	0.8201631246
987	0.820146096
988	0.8201308011
989	0.8201140555
990	0.8200972247
991	0.8200798616
992	0.8200625291
993	0.8200448355
994	0.8200280196
995	0.8200120041
996	0.8199950825
997	0.8199767815
998	0.8199606485
999	0.8199425482

